Unnamed: 0,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
7,福井トヨタ自動車株式会社,福井市下荒井町１９字５０番地,0770-25-2430,http://www.fukui-toyota.jp/,,,,,,,,敦賀店,敦賀市野神１５－４－７,0770-25-2430,●,●,●,●,,
8,福井トヨタ自動車株式会社,福井市下荒井町１９字５０番地,0770-53-2511,http://www.fukui-toyota.jp/,,,,,,,,小浜店,小浜市南川町１７－１６,0770-53-2511,●,●,●,●,,
0,福井トヨペット株式会社,福井市幾代２－１４２４－１,0776-55-3535,https://fukuitp.com/,,,,,,,,天菅生橋店,福井市山室町５５－８９,0776-55-3535,●,●,●,●,,
1,福井トヨペット株式会社,福井市幾代２－１４２４－１,0776-54-6771,https://fukuitp.com/,,,,,,,,東店,福井市新保町２６－４１,0776-54-6771,●,●,●,●,,
2,福井トヨペット株式会社,福井市幾代２－１４２４－１,0776-77-3330,https://fukuitp.com/,,,,,,,,あわら店,あわら市下番５３－１５,0776-77-3330,●,●,●,●,,
3,福井トヨペット株式会社,福井市幾代２－１４２４－１,0776-21-1010,https://fukuitp.com/,,,,,,,,本店,福井市幾代２丁目１４２４－１,0776-21-1010,●,●,●,●,,
4,福井トヨペット株式会社,福井市幾代２－１４２４－１,0779-66-1010,https://fukuitp.com/,,,,,,,,大野店,大野市中津川３１－１５,0779-66-1010,●,●,●,●,,
5,福井トヨペット株式会社,福井市幾代２－１４２４－１,0770-22-4330,https://fukuitp.com/,,,,,,,,敦賀店,敦賀市清水町２丁目１４－１５,0770-22-4330,●,●,●,●,,
6,福井トヨペット株式会社,福井市幾代２－１４２４－１,0778-24-3215,https://fukuitp.com/,,,,,,,,武生店,越前市家久町４６－２７,0778-24-3215,●,●,●,●,,
7,福井トヨペット株式会社,福井市幾代２－１４２４－１,0770-56-1777,https://fukuitp.com/,,,,,,,,小浜店,小浜市遠敷２５－１４－１,0770-56-1777,●,●,●,●,,
8,福井トヨペット株式会社,福井市幾代２－１４２４－１,0776-35-7111,https://fukuitp.com/,,,,,,,,南福井店,福井市みのり３丁目１－２,0776-35-7111,●,●,●,●,,
0,トヨタカローラ福井株式会社,福井市志比口１丁目８－１,0776-66-6123,http://www.corolla-fukui.jp/,,,,,,,,丸岡店,坂井市丸岡町高柳１１－２８－２,0776-66-6123,●,●,●,●,,
1,トヨタカローラ福井株式会社,福井市志比口１丁目８－１,0776-53-1200,http://www.corolla-fukui.jp/,,,,,,,,中央店,福井市　開発５丁目１００３,0776-53-1200,●,,●,●,,
2,トヨタカローラ福井株式会社,福井市志比口１丁目８－１,0779-65-1200,http://www.corolla-fukui.jp/,,,,,,,,大野店,大野市　中野　９－１９－１,0779-65-1200,●,,●,●,,
3,トヨタカローラ福井株式会社,福井市志比口１丁目８－１,0770-25-1200,http://www.corolla-fukui.jp/,,,,,,,,敦賀店,敦賀市　野神　２５－１０－１,0770-25-1200,●,,●,●,,
4,トヨタカローラ福井株式会社,福井市志比口１丁目８－１,0778-22-1889,http://www.corolla-fukui.jp/,,,,,,,,武生店,越前市　新保町　６－７,0778-22-1889,●,●,●,●,,
5,トヨタカローラ福井株式会社,福井市志比口１丁目８－１,0770-56-2533,http://www.corolla-fukui.jp/,,,,,,,,小浜店,小浜市　多田　９－７,0770-56-2533,●,,●,●,,
6,トヨタカローラ福井株式会社,福井市志比口１丁目８－１,0776-38-0200,http://www.corolla-fukui.jp/,,,,,,,,福井店,福井市　今市町　６２－１６,0776-38-0200,●,●,●,●,,
7,トヨタカローラ福井株式会社,福井市志比口１丁目８－１,0776-38-0206,http://www.corolla-fukui.jp/,,,,,,,,福井店（中古車展示場）,福井市今市町　６２－４,0776-38-0206,,●,●,,,
8,トヨタカローラ福井株式会社,福井市志比口１丁目８－１,0776-72-3030,http://www.corolla-fukui.jp/,,,,,,,,坂井店,坂井市坂井町下関　３６－１１－１,0776-72-3030,●,,●,●,,
0,ネッツトヨタ福井株式会社,福井県福井市今市町５８-１２,0776-38-2217,https://www.netzfukui.co.jp/,,,,,,,,本店,福井市今市町５８－１２,0776-38-2217,●,●,●,●,●,●
1,ネッツトヨタ福井株式会社,福井県福井市今市町５８-１２,0776-38-6000,https://www.netzfukui.co.jp/,,,,,,,,福井店,福井市下荒井町２０－３０,0776-38-6000,●,●,●,●,,
2,ネッツトヨタ福井株式会社,福井県福井市今市町５８-１２,0776-54-0369,https://www.netzfukui.co.jp/,,,,,,,,中央店,福井市開発町７－１２－１,0776-54-0369,●,●,●,●,,
3,ネッツトヨタ福井株式会社,福井県福井市今市町５８-１２,0776-66-1320,https://www.netzfukui.co.jp/,,,,,,,,丸岡店,坂井市丸岡町一本田３－１,0776-66-1320,●,●,●,●,,
4,ネッツトヨタ福井株式会社,福井県福井市今市町５８-１２,0776-58-0310,https://www.netzfukui.co.jp/,,,,,,,,春江店,坂井市春江町藤鷲塚３７－１９,0776-58-0310,●,●,●,●,,
5,ネッツトヨタ福井株式会社,福井県福井市今市町５８-１２,0779-66-0330,https://www.netzfukui.co.jp/,,,,,,,,大野店,大野市中挟１－１,0779-66-0330,●,●,●,●,,
6,ネッツトヨタ福井株式会社,福井県福井市今市町５８-１２,0778-23-3333,https://www.netzfukui.co.jp/,,,,,,,,武生店,越前市横市町４－１－１,0778-23-3333,●,●,●,●,,
7,ネッツトヨタ福井株式会社,福井県福井市今市町５８-１２,0778-53-0440,https://www.netzfukui.co.jp/,,,,,,,,鯖江店,鯖江市下河端町５０４,0778-53-0440,●,●,●,●,,
8,ネッツトヨタ福井株式会社,福井県福井市今市町５８-１２,0770-22-3350,https://www.netzfukui.co.jp/,,,,,,,,敦賀店,敦賀市古田刈１７－９－１,0770-22-3350,●,●,●,●,●,●
9,ネッツトヨタ福井株式会社,福井県福井市今市町５８-１２,0770-56-2783,https://www.netzfukui.co.jp/,,,,,,,,小浜店,小浜市遠敷５丁目５１４,0770-56-2783,●,●,●,●,,
10,ネッツトヨタ福井株式会社,福井県福井市今市町５８-１２,0776-38-5600,https://www.netzfukui.co.jp/,,,,,,,,音楽堂いちばん店,福井市今市町２４－１３,0776-38-5600,●,●,●,●,,
0,山梨トヨタ自動車株式会社,甲府市宝一丁目21番29号,055-232-8811,https://www.yamanashi-toyota.jp/,,,,,,,,甲府アルプス通り店,甲府市徳行１－９－５,055-232-8811,●,,●,●,●,●
1,山梨トヨタ自動車株式会社,甲府市宝一丁目21番29号,055-227-7200,https://www.yamanashi-toyota.jp/,,,,,,,,甲府バイパス小瀬店,甲府市住吉本町１３７８－１,055-227-7200,●,,●,●,,
2,山梨トヨタ自動車株式会社,甲府市宝一丁目21番29号,055-275-5522,https://www.yamanashi-toyota.jp/,,,,,,,,昭和バイパス店,中巨摩郡昭和町飯喰１３５０－１,055-275-5522,●,,●,●,,
3,山梨トヨタ自動車株式会社,甲府市宝一丁目21番29号,0555-22-3129,https://www.yamanashi-toyota.jp/,,,,,,,,富士吉田店,富士吉田市ときわ台２－７－２１,0555-22-3129,●,,●,●,,
4,山梨トヨタ自動車株式会社,甲府市宝一丁目21番29号,0553-22-2711,https://www.yamanashi-toyota.jp/,,,,,,,,山梨日川店,山梨市下栗原１０７８,0553-22-2711,●,,●,●,,
5,山梨トヨタ自動車株式会社,甲府市宝一丁目21番29号,0551-22-1051,https://www.yamanashi-toyota.jp/,,,,,,,,ツインズ韮崎店,韮崎市藤井町北下條１４７５,0551-22-1051,●,,●,●,,
6,山梨トヨタ自動車株式会社,甲府市宝一丁目21番29号,0556-22-2128,https://www.yamanashi-toyota.jp/,,,,,,,,増穂店,南巨摩郡富士川町大椚３００－１,0556-22-2128,●,,●,●,,
7,山梨トヨタ自動車株式会社,甲府市宝一丁目21番29号,0554-43-8311,https://www.yamanashi-toyota.jp/,,,,,,,,都留店,都留市田野倉４５７,0554-43-8311,●,,●,●,,
8,山梨トヨタ自動車株式会社,甲府市宝一丁目21番29号,055-243-0011,https://www.yamanashi-toyota.jp/,,,,,,,,甲府マイカーセンター,甲府市上町２１６５－１,055-243-0011,,●,●,●,,
0,山梨トヨペット株式会社,甲府市国玉町238-1,055-235-1190,https://yamanashi-toyopet.jp/,,,,,,,,本店,甲府市国玉町２３８－１,055-235-1190,●,,●,●,,
1,山梨トヨペット株式会社,甲府市国玉町238-1,055-226-1131,https://yamanashi-toyopet.jp/,,,,,,,,国母店,甲府市国母７丁目９－３３,055-226-1131,●,,●,●,,
2,山梨トヨペット株式会社,甲府市国玉町238-1,055-277-1277,https://yamanashi-toyopet.jp/,,,,,,,,竜王店,甲斐市大下条３１２－１,055-277-1277,●,,●,●,●,●
3,山梨トヨペット株式会社,甲府市国玉町238-1,0553-22-9661,https://yamanashi-toyopet.jp/,,,,,,,,日川店,山梨市下石森１６,0553-22-9661,●,●,●,,,
4,山梨トヨペット株式会社,甲府市国玉町238-1,0556-22-3211,https://yamanashi-toyopet.jp/,,,,,,,,増穂店,南巨摩郡富士川町大椚９２１,0556-22-3211,●,,●,●,,
5,山梨トヨペット株式会社,甲府市国玉町238-1,0551-22-7711,https://yamanashi-toyopet.jp/,,,,,,,,韮崎店,韮崎市一ツ谷１８６９,0551-22-7711,●,,●,●,,
6,山梨トヨペット株式会社,甲府市国玉町238-1,0554-43-2191,https://yamanashi-toyopet.jp/,,,,,,,,都留店,都留市古川渡５０１,0554-43-2191,●,,●,●,,
7,山梨トヨペット株式会社,甲府市国玉町238-1,0555-72-2261,https://yamanashi-toyopet.jp/,,,,,,,,河口湖店,南都留郡富士河口湖町船津４８９４－２,0555-72-2261,●,,●,●,,
8,山梨トヨペット株式会社,甲府市国玉町238-1,055-232-6425,https://yamanashi-toyopet.jp/,,,,,,,,Ｕ－Ｃａｒ和戸店,甲府市和戸町９４０,055-232-6425,,●,●,●,,
0,トヨタカローラ山梨株式会社,山梨県甲斐市富竹新田１９４１,055-276-6215,https://toyota-corolla-yamanashi.jp,,,,,,,,甲府本店,甲斐市富竹新田１９４１,055-276-6215,●,●,●,●,,
1,トヨタカローラ山梨株式会社,山梨県甲斐市富竹新田１９４１,055-233-6151,https://toyota-corolla-yamanashi.jp,,,,,,,,甲府中央店,甲府市幸町９－３０,055-233-6151,●,●,●,●,,
2,トヨタカローラ山梨株式会社,山梨県甲斐市富竹新田１９４１,0553-22-3411,https://toyota-corolla-yamanashi.jp,,,,,,,,峡東店,山梨市歌田３８－１,0553-22-3411,●,,●,●,,
3,トヨタカローラ山梨株式会社,山梨県甲斐市富竹新田１９４１,0551-28-8222,https://toyota-corolla-yamanashi.jp,,,,,,,,甲斐アルプス店,甲斐市下今井１０５５,0551-28-8222,●,●,●,●,,
4,トヨタカローラ山梨株式会社,山梨県甲斐市富竹新田１９４１,055-275-4111,https://toyota-corolla-yamanashi.jp,,,,,,,,昭和店,中巨摩郡昭和町西条９９２－１,055-275-4111,●,,●,●,,
5,トヨタカローラ山梨株式会社,山梨県甲斐市富竹新田１９４１,0555-22-5588,https://toyota-corolla-yamanashi.jp,,,,,,,,吉田店,富士吉田市中曽根３丁目３番地１号,0555-22-5588,●,,●,●,,
6,トヨタカローラ山梨株式会社,山梨県甲斐市富竹新田１９４１,0554-45-4511,https://toyota-corolla-yamanashi.jp,,,,,,,,都留バイパス店,山梨県都留市井倉５５０－１,0554-45-4511,●,●,●,●,,
0,ネッツトヨタ山梨株式会社,山梨県甲府市国母５－６－１７,055-227-3131,http://www.netz-yamanashi.com/,,,,,,,,本社セイリア店,甲府市国母５ー６ー１７,055-227-3131,●,,●,●,●,●
1,ネッツトヨタ山梨株式会社,山梨県甲府市国母５－６－１７,055-288-7077,http://www.netz-yamanashi.com/,,,,,,,,南アルプス店,南アルプス市上今諏訪５１３－１,055-288-7077,●,,●,●,,
2,ネッツトヨタ山梨株式会社,山梨県甲府市国母５－６－１７,0555-21-2101,http://www.netz-yamanashi.com/,,,,,,,,富士吉田店,富士吉田市下吉田６－２６－６２,0555-21-2101,●,,●,●,,
3,ネッツトヨタ山梨株式会社,山梨県甲府市国母５－６－１７,0554-43-8831,http://www.netz-yamanashi.com/,,,,,,,,都留店,都留市田野倉４５８,0554-43-8831,●,,●,●,,
4,ネッツトヨタ山梨株式会社,山梨県甲府市国母５－６－１７,055-284-0311,http://www.netz-yamanashi.com/,,,,,,,,南湖店,南アルプス市東南湖８７７,055-284-0311,●,,●,●,,
5,ネッツトヨタ山梨株式会社,山梨県甲府市国母５－６－１７,0554-63-4111,http://www.netz-yamanashi.com/,,,,,,,,上野原ＳＣ　ダイハツ上野原店,上野原市松留６３０,0554-63-4111,●,,●,●,,
6,ネッツトヨタ山梨株式会社,山梨県甲府市国母５－６－１７,055-222-7511,http://www.netz-yamanashi.com/,,,,,,,,U-Carセンター和戸,甲府市和戸町１７１－３,055-222-7511,,●,●,●,,
0,ネッツトヨタ甲斐株式会社,山梨県甲府市朝気３－１０－２１,0552-32-5511,https://www.netz-kai.co.jp/,,,,,,,,本社甲府店,甲府市朝気３丁目１０－２１,0552-32-5511,●,,●,●,,
1,ネッツトヨタ甲斐株式会社,山梨県甲府市朝気３－１０－２１,0555-73-1161,https://www.netz-kai.co.jp/,,,,,,,,河口湖店,南都留郡富士河口湖町船津　４８７５－１,0555-73-1161,●,,●,●,,
2,ネッツトヨタ甲斐株式会社,山梨県甲府市朝気３－１０－２１,055-283-5001,https://www.netz-kai.co.jp/,,,,,,,,若草店,南アルプス市浅原　　３５１－２,055-283-5001,●,,●,●,,
3,ネッツトヨタ甲斐株式会社,山梨県甲府市朝気３－１０－２１,0552-76-1266,https://www.netz-kai.co.jp/,,,,,,,,ビステージ,甲斐市富竹新田１５９６－２,0552-76-1266,,●,●,●,,
4,ネッツトヨタ甲斐株式会社,山梨県甲府市朝気３－１０－２１,0551-23-0500,https://www.netz-kai.co.jp/,,,,,,,,韮崎店,韮崎市一ツ谷　　　　　１９７１－１,0551-23-0500,●,●,●,●,,
5,ネッツトヨタ甲斐株式会社,山梨県甲府市朝気３－１０－２１,055-279-5533,https://www.netz-kai.co.jp/,,,,,,,,竜王店,甲斐市玉川　１５８０,055-279-5533,●,●,●,●,,
6,ネッツトヨタ甲斐株式会社,山梨県甲府市朝気３－１０－２１,0554-43-9000,https://www.netz-kai.co.jp/,,,,,,,,都留店,都留市田野倉　　　　　１９６－１,0554-43-9000,●,●,●,●,,
0,長野トヨタ,長野県長野市南石堂町１３２６－１,026-264-5011,https://www.nagano-toyota.jp/,,,,,,,,プリズム店,長野県長野市南石堂町１３２６－１,026-264-5011,●,,●,,●,●
1,長野トヨタ,長野県長野市南石堂町１３２６－１,026-221-4550,https://www.nagano-toyota.jp/,,,,,,,,長野店,長野県長野市大字稲葉字北村前沖２５５８－３,026-221-4550,●,,●,●,,
2,長野トヨタ,長野県長野市南石堂町１３２６－１,026-244-6338,https://www.nagano-toyota.jp/,,,,,,,,柳原店,長野県長野市小島１１１－１,026-244-6338,●,,●,●,,
3,長野トヨタ,長野県長野市南石堂町１３２６－１,026-243-0380,https://www.nagano-toyota.jp/,,,,,,,,東和田店,長野県長野市東和田字前田沖９４６,026-243-0380,●,,●,●,●,●
4,長野トヨタ,長野県長野市南石堂町１３２６－１,026-217-3115,https://www.nagano-toyota.jp/,,,,,,,,Ｃｈｕ　ＣＡＲ　ＢＯＸ若槻店,長野県長野市大字徳間１－２３－１１,026-217-3115,,●,●,,,
5,長野トヨタ,長野県長野市南石堂町１３２６－１,026-295-3676,https://www.nagano-toyota.jp/,,,,,,,,徳間店,長野県長野市大字徳間字本堂原１０６７番２,026-295-3676,●,,●,●,●,●
6,長野トヨタ,長野県長野市南石堂町１３２６－１,026-214-3123,https://www.nagano-toyota.jp/,,,,,,,,Ｃｈｕ　ＣＡＲ　ＢＯＸ川中島店,長野県長野市里島６５,026-214-3123,,●,●,,,
7,長野トヨタ,長野県長野市南石堂町１３２６－１,026-286-1711,https://www.nagano-toyota.jp/,,,,,,,,SUV VILLAGE 川中島,長野県長野市川中島町原１４０６,026-286-1711,●,●,●,●,,
8,長野トヨタ,長野県長野市南石堂町１３２６－１,026-283-6100,https://www.nagano-toyota.jp/,,,,,,,,川中島店,長野県長野市川中島町今井字薬師堂１８２３－１,026-283-6100,●,,●,●,,
9,長野トヨタ,長野県長野市南石堂町１３２６－１,026-248-4722,https://www.nagano-toyota.jp/,,,,,,,,須坂店,長野県須坂市大字米持字大道下南之割４５４,026-248-4722,●,,●,●,,
10,長野トヨタ,長野県長野市南石堂町１３２６－１,0269-22-3101,https://www.nagano-toyota.jp/,,,,,,,,中野店,長野県中野市江部字田中１３２０,0269-22-3101,●,,●,●,,
11,長野トヨタ,長野県長野市南石堂町１３２６－１,0267-22-4772,https://www.nagano-toyota.jp/,,,,,,,,小諸店,長野県小諸市丙字青木４４２－１,0267-22-4772,●,,●,●,,
12,長野トヨタ,長野県長野市南石堂町１３２６－１,0267-67-4500,https://www.nagano-toyota.jp/,,,,,,,,佐久北店,長野県佐久市中込字西妻神３２２６－１,0267-67-4500,●,,●,●,,
13,長野トヨタ,長野県長野市南石堂町１３２６－１,0267-62-8311,https://www.nagano-toyota.jp/,,,,,,,,佐久店,長野県佐久市大字中込字宮久保２４６９－１,0267-62-8311,●,,●,●,●,●
14,長野トヨタ,長野県長野市南石堂町１３２６－１,0267-62-8318,https://www.nagano-toyota.jp/,,,,,,,,Ｃｈｕ　ＣＡＲ　ＢＯＸ佐久店,長野県佐久市大字中込字宮前２４４８‐１,0267-62-8318,,●,●,,,
15,長野トヨタ,長野県長野市南石堂町１３２６－１,0268-71-8012,https://www.nagano-toyota.jp/,,,,,,,,Ｃｈｕ　ＣＡＲ　ＢＯＸ上田店,長野県上田市常入１－１－４７,0268-71-8012,,●,●,,,
16,長野トヨタ,長野県長野市南石堂町１３２６－１,0268-22-7280,https://www.nagano-toyota.jp/,,,,,,,,上田中央店,長野県上田市踏入２－１９－２０,0268-22-7280,●,,●,●,,
17,長野トヨタ,長野県長野市南石堂町１３２６－１,0268-22-5586,https://www.nagano-toyota.jp/,,,,,,,,上田店,長野県上田市踏入２－１９－２９,0268-22-5586,●,,●,●,,
18,長野トヨタ,長野県長野市南石堂町１３２６－１,0268-23-7611,https://www.nagano-toyota.jp/,,,,,,,,上田川西店,長野県上田市大字福田５３－１,0268-23-7611,●,,●,●,,
19,長野トヨタ,長野県長野市南石堂町１３２６－１,0267-45-0150,https://www.nagano-toyota.jp/,,,,,,,,軽井沢店,長野県北佐久郡軽井沢町長倉字屋敷裏２４１４－１,0267-45-0150,●,,●,●,,
20,長野トヨタ,長野県長野市南石堂町１３２６－１,026-275-3121,https://www.nagano-toyota.jp/,,,,,,,,更埴店,長野県千曲市内川１２８８－２,026-275-3121,●,,●,●,,
21,長野トヨタ,長野県長野市南石堂町１３２６－１,0263-33-6100,https://www.nagano-toyota.jp/,,,,,,,,松本店,長野県松本市本庄２－２－２０,0263-33-6100,●,,●,●,●,●
22,長野トヨタ,長野県長野市南石堂町１３２６－１,0263-35-7111,https://www.nagano-toyota.jp/,,,,,,,,松本北店,長野県松本市宮渕本村１－５,0263-35-7111,●,,●,●,,
23,長野トヨタ,長野県長野市南石堂町１３２６－１,0266-72-6531,https://www.nagano-toyota.jp/,,,,,,,,茅野店,長野県茅野市ちの５５５－６,0266-72-6531,●,,●,●,●,●
24,長野トヨタ,長野県長野市南石堂町１３２６－１,0266-52-4680,https://www.nagano-toyota.jp/,,,,,,,,諏訪店,長野県諏訪市四賀宮下４５２,0266-52-4680,●,●,●,●,,
25,長野トヨタ,長野県長野市南石堂町１３２６－１,0266-26-3655,https://www.nagano-toyota.jp/,,,,,,,,下諏訪店,長野県諏訪郡下諏訪町６１７２－１,0266-26-3655,●,,●,●,,
26,長野トヨタ,長野県長野市南石堂町１３２６－１,0265-22-7245,https://www.nagano-toyota.jp/,,,,,,,,飯田店,長野県飯田市上郷別府３３０９,0265-22-7245,●,,●,●,,
27,長野トヨタ,長野県長野市南石堂町１３２６－１,0265-22-3979,https://www.nagano-toyota.jp/,,,,,,,,Ｃｈｕ　ＣＡＲ　ＢＯＸ飯田店,長野県飯田市上郷別府３３０９,0265-22-3979,,●,●,,,
28,長野トヨタ,長野県長野市南石堂町１３２６－１,0265-72-3138,https://www.nagano-toyota.jp/,,,,,,,,伊那店,長野県伊那市山寺２９０,0265-72-3138,●,,●,●,,
29,長野トヨタ,長野県長野市南石堂町１３２６－１,0264-22-3181,https://www.nagano-toyota.jp/,,,,,,,,木曽店,長野県木曽郡木曽町新開１８７２－５,0264-22-3181,●,,●,●,,
30,長野トヨタ,長野県長野市南石堂町１３２６－１,0261-22-5279,https://www.nagano-toyota.jp/,,,,,,,,大町店,長野県大町市大字大町２９００－２,0261-22-5279,●,,●,●,,
31,長野トヨタ,長野県長野市南石堂町１３２６－１,0263-58-3110,https://www.nagano-toyota.jp/,,,,,,,,松本中央店,長野県松本市平田東２丁目２番６号,0263-58-3110,●,,●,●,,
32,長野トヨタ,長野県長野市南石堂町１３２６－１,0263-58-3647,https://www.nagano-toyota.jp/,,,,,,,,Ｃｈｕ　ＣＡＲ　ＢＯＸ松本店,長野県松本市村井町北１丁目９番５５号,0263-58-3647,,●,●,,,
33,長野トヨタ,長野県長野市南石堂町１３２６－１,0263-58-6005,https://www.nagano-toyota.jp/,,,,,,,,松本南店,長野県松本市村井町北１丁目９番５５号,0263-58-6005,●,,●,●,,
34,長野トヨタ,長野県長野市南石堂町１３２６－１,0263-52-2345,https://www.nagano-toyota.jp/,,,,,,,,塩尻店,長野県塩尻市広丘野村１６５１－２,0263-52-2345,●,,●,●,,
35,長野トヨタ,長野県長野市南石堂町１３２６－１,0265-83-5166,https://www.nagano-toyota.jp/,,,,,,,,駒ヶ根店,長野県駒ヶ根市赤須町１０－１１,0265-83-5166,●,,●,●,,
36,長野トヨタ,長野県長野市南石堂町１３２６－１,0265-78-2938,https://www.nagano-toyota.jp/,,,,,,,,伊那春近店,長野県伊那市西春近２４５８－１,0265-78-2938,●,,●,●,,
37,長野トヨタ,長野県長野市南石堂町１３２６－１,0265-96-0221,https://www.nagano-toyota.jp/,,,,,,,,Ｃｈｕ－ＣＡＲ　ＢＯＸ伊那店,長野県上伊那郡南箕輪村６４５１－１０,0265-96-0221,,●,●,,,
38,長野トヨタ,長野県長野市南石堂町１３２６－１,0265-79-7588,https://www.nagano-toyota.jp/,,,,,,,,伊北店,長野県上伊那郡箕輪町中箕輪字北原１４６５－１,0265-79-7588,●,,●,●,,
39,長野トヨタ,長野県長野市南石堂町１３２６－１,0263-72-4743,https://www.nagano-toyota.jp/,,,,,,,,安曇店,長野県安曇野市豊科田沢７０３９－１５,0263-72-4743,●,,●,●,,
